Date,Name,Ticker,Fiscal,Actual,Consensus,Surprise
2010-01-29 13:00:00,PACCAR INC.,PCAR,Q4 9 ,0.16,0.065,140.3
2010-02-02 12:30:00,AUTOMATIC DATA PROCS,ADP,Q2 10 ,0.62,0.577,7.5
2010-02-02 21:01:00,"FISERV, INC.",FISV,Q4 9 ,0.24,0.236,-0.4
2010-02-02 21:05:00,"VERISIGN, INC.",VRSN,Q4 9 ,0.31,0.345,-10.1
2010-02-03 12:00:00,COMCAST CORP A,CMCSA,Q4 9 ,0.14,0.137,5.8
2010-02-03 12:01:00,MICROCHIP TECHNOLOGY,MCHP,Q3 10 ,0.37,0.341,8.5
2010-02-03 21:05:00,CADENCE DESIGN SYS,CDNS,Q4 9 ,0.06,0.028,114.3
2010-02-03 21:05:00,CISCO SYSTEMS INC,CSCO,Q2 10 ,0.4,0.351,14.0
2010-02-04 21:04:00,VERTEX PHARMACEUTIC,VRTX,Q4 9 ,-0.85,-0.842,-1.0
2010-02-04 21:05:00,"ILLUMINA, INC.",ILMN,Q4 9 ,0.18,0.191,-5.8
2010-02-08 21:01:00,ELECTRONIC ARTS INC,EA,Q3 10 ,0.33,0.309,6.8
2010-02-09 11:00:00,COGNIZANT TECH SOL,CTSH,Q4 9 ,0.25,0.237,5.5
2010-02-09 12:15:00,BIOGEN INC CMN,BIIB,Q4 9 ,1.18,1.044,13.0
2010-02-09 21:01:00,CERNER CORP,CERN,Q4 9 ,0.19,0.18,4.2
2010-02-09 21:10:00,SEATTLE GENETICS,SGEN,Q4 9 ,-0.12,-0.244,50.8
2010-02-10 21:15:00,ACTIVISION BLIZZARD,ATVI,Q4 9 ,0.49,0.44,11.4
2010-02-11 11:30:00,MARRIOTT INT CL A CM,MAR,Q4 9 ,0.32,0.26,23.1
2010-02-11 11:30:00,ALEXION PHARM INC,ALXN,Q4 9 ,0.16,0.147,5.4
2010-02-11 12:58:00,PEPSICO INC,PEP,Q4 9 ,0.9,0.902,-0.2
2010-02-11 14:02:00,"EXPEDIA GROUP, INC.",EXPE,Q4 9 ,0.6,0.574,4.5
2010-02-16 11:30:00,MONDELEZ INTL CMN A,MDLZ,Q4 9 ,0.46,0.448,2.7
2010-02-17 21:00:00,"NETAPP, INC.",NTAP,Q3 10 ,0.4,0.378,5.8
2010-02-17 21:00:00,ANALOG DEVICES CMN,ADI,Q1 10 ,0.43,0.379,13.5
2010-02-17 21:03:00,APPLIED MATERIALS,AMAT,Q1 10 ,0.13,0.134,-3.0
2010-02-17 21:11:00,BOOKING HOLDINGS INC,BKNG,Q4 9 ,1.85,1.683,9.9
2010-02-17 21:15:00,"SYNOPSYS, INC.",SNPS,Q1 10 ,0.41,0.385,6.5
2010-02-17 21:22:00,NVIDIA CORPORATION,NVDA,Q4 10 ,0.23,0.195,17.9
2010-02-17 23:30:00,O'REILLY AUTOMOTIVE,ORLY,Q4 9 ,0.52,0.507,2.6
2010-02-18 12:00:00,INCYTE CORPORATION,INCY,Q4 9 ,-0.41,-0.338,-21.3
2010-02-18 13:30:00,REGENERON PHARMACEUT,REGN,Q4 9 ,-0.46,-0.366,-25.7
2010-02-18 21:00:00,INTUIT INC,INTU,Q2 10 ,0.38,0.315,20.6
2010-02-23 21:00:00,BIOMARIN PHARMACEUT,BMRN,Q4 9 ,0.05,0.009,455.6
2010-02-23 21:02:00,AUTODESK INC,ADSK,Q4 10 ,0.3,0.232,29.3
2010-02-24 13:03:00,DOLLAR TREE INC,DLTR,Q4 10 ,0.51,0.478,6.0
2010-02-24 21:00:00,BROADCOM INC.,AVGO,Q1 10 ,0.36,0.302,19.2
2010-02-24 21:33:00,COSTAR GROUP,CSGP,Q4 9 ,0.23,0.185,24.3
2010-02-25 11:00:00,T-MOBILE,TM,Q4 9 ,0.2,0.119,70.4
2010-02-25 12:00:00,SIRIUS XM HOLDINGS I,SIRI,Q4 9 ,-0.01,-0.018,44.4
2010-02-25 12:03:00,ANSYS,ANSS,Q4 9 ,0.53,0.486,9.1
2010-02-25 21:10:00,MONSTER BEVERAGE CP,MNST,Q4 9 ,0.09,0.088,8.0
2010-03-02 23:43:00,COPART,CPRT,Q2 10 ,0.11,0.1,5.0
2010-03-03 08:01:00,COSTCO WHOLESALE,COST,Q2 10 ,0.7,0.716,-2.0
2010-03-03 21:00:00,TAKE-TWO INTERACTI,TTWO,Q1 10 ,-0.31,-0.505,38.6
2010-03-09 21:30:00,VERISK ANALYTICS INC,VRSK,Q4 9 ,0.32,0.3,6.7
2010-03-11 21:01:00,"ULTA BEAUTY, INC.",ULTA,Q4 10 ,0.34,0.301,13.0
2010-03-18 12:30:00,"ROSS STORES, INC.",ROST,Q4 10 ,0.29,0.291,-0.3
2010-03-18 20:15:00,CINTAS CORP,CTAS,Q3 10 ,0.32,0.298,7.4
2010-03-23 11:30:00,WALGREENS BTS ALN CM,WBA,Q2 10 ,0.68,0.706,-3.7
2010-03-23 20:05:00,ADOBE INC.,ADBE,Q1 10 ,0.4,0.369,8.4
2010-03-24 20:01:00,"PAYCHEX, INC.",PAYX,Q3 10 ,0.34,0.331,2.7
2010-03-31 21:07:00,MICRON TECHNOLOGY,MU,Q2 10 ,0.39,0.247,57.9
2010-04-13 12:50:00,FASTENAL CO,FAST,Q1 10 ,0.1,0.083,14.5
2010-04-13 21:05:00,CSX,CSX,Q1 10 ,0.26,0.232,12.1
2010-04-13 21:15:00,INTEL CORP,INTC,Q1 10 ,0.43,0.377,14.1
2010-04-15 21:01:00,ALPHABET CL A CMN,GOOGL,Q1 10 ,3.03,2.908,4.2
2010-04-15 21:05:00,"INTUITIVE SURG, INC.",ISRG,Q1 10 ,0.85,0.572,48.9
2010-04-15 21:15:00,ADV MICRO DEVICES,AMD,Q1 10 ,0.35,-0.022,1690.9
2010-04-20 12:15:00,BIOGEN INC CMN,BIIB,Q1 10 ,1.05,1.123,-6.5
2010-04-20 13:00:00,PACCAR INC.,PCAR,Q1 10 ,0.19,0.152,25.0
2010-04-20 21:05:00,"GILEAD SCIENCES, INC",GILD,Q1 10 ,0.5,0.478,3.6
2010-04-20 21:34:00,APPLE INC.,AAPL,Q2 10 ,0.48,0.351,35.5
2010-04-21 16:08:00,AMERICAN AIRLINES GP,AAL,Q1 10 ,-1.36,-1.277,-6.5
2010-04-21 21:00:00,QUALCOMM INC,QCOM,Q2 10 ,0.59,0.57,3.5
2010-04-21 21:00:00,VERTEX PHARMACEUTIC,VRTX,Q1 10 ,-0.7,-0.788,11.2
2010-04-21 21:03:00,STARBUCKS CORP,SBUX,Q2 10 ,0.14,0.125,16.0
2010-04-21 21:05:00,CITRIX SYSTEMS INC,CTXS,Q1 10 ,0.4,0.4,0.0
2010-04-21 21:05:00,"NETFLIX, INC.",NFLX,Q1 10 ,0.08,0.077,9.5
2010-04-21 21:06:00,AMGEN,AMGN,Q1 10 ,1.3,1.239,4.9
2010-04-21 21:15:00,EBAY INC.,EBAY,Q1 10 ,0.42,0.409,2.7
2010-04-21 21:19:00,LAM RESEARCH CORP,LRCX,Q3 10 ,0.94,0.819,14.8
2010-04-21 22:01:00,COSTAR GROUP,CSGP,Q1 10 ,0.15,0.138,8.7
2010-04-22 11:30:00,MARRIOTT INT CL A CM,MAR,Q1 10 ,0.22,0.199,10.6
2010-04-22 11:30:00,ALEXION PHARM INC,ALXN,Q1 10 ,0.19,0.164,12.8
2010-04-22 12:00:00,PEPSICO INC,PEP,Q1 10 ,0.76,0.752,1.1
2010-04-22 12:01:00,ALIGN TECHNOLOGY I,ALGN,Q1 10 ,0.2,0.13,53.8
2010-04-22 21:01:00,AMAZON.COM INC,AMZN,Q1 10 ,0.66,0.608,8.6
2010-04-22 21:10:00,MICROSOFT CORP,MSFT,Q3 10 ,0.45,0.422,6.6
2010-04-22 21:15:00,WESTERN DIGITAL CP,WDC,Q3 10 ,1.71,1.555,10.0
2010-04-23 12:00:00,IDEXX LABORATORIES,IDXX,Q1 10 ,0.28,0.248,10.9
2010-04-23 13:30:00,EXCELON,EXC,Q1 10 ,1.0,0.895,11.7
2010-04-26 21:32:00,TEXAS INSTRUMENTS,TXN,Q1 10 ,0.52,0.506,2.8
2010-04-27 12:31:00,AUTOMATIC DATA PROCS,ADP,Q3 10 ,0.79,0.78,1.3
2010-04-27 13:30:00,UNITED AIRLNS HLD CM,UAL,Q1 10 ,-0.2,,
2010-04-27 21:10:00,SEATTLE GENETICS,SGEN,Q1 10 ,0.11,0.051,115.7
2010-04-28 12:00:00,COMCAST CORP A,CMCSA,Q1 10 ,0.16,0.147,5.4
2010-04-28 17:00:00,CADENCE DESIGN SYS,CDNS,Q1 10 ,0.02,0.01,100.0
2010-04-28 21:01:00,"ILLUMINA, INC.",ILMN,Q1 10 ,0.21,0.19,10.5
2010-04-28 21:03:00,CERNER CORP,CERN,Q1 10 ,0.16,0.152,3.6
2010-04-28 21:05:00,"VERISIGN, INC.",VRSN,Q1 10 ,0.37,0.347,6.6
2010-04-28 21:20:00,"XILINX, INC.",XLNX,Q4 10 ,0.54,0.442,22.2
2010-04-28 23:30:00,O'REILLY AUTOMOTIVE,ORLY,Q1 10 ,0.7,0.588,19.0
2010-04-29 12:00:00,REGENERON PHARMACEUT,REGN,Q1 10 ,-0.31,-0.491,36.9
2010-04-29 12:00:00,XCEL ENERGY CMN,XEL,Q1 10 ,0.42,0.407,3.2
2010-04-29 21:00:00,BIOMARIN PHARMACEUT,BMRN,Q1 10 ,0.01,0.004,150.0
2010-04-29 21:00:00,"EXPEDIA GROUP, INC.",EXPE,Q1 10 ,0.52,0.447,16.3
2010-04-29 21:01:00,MAXIM INTEGRATED,MXIM,Q3 10 ,0.27,0.266,1.5
2010-04-29 21:15:00,KLA CP CMN STK,KLAC,Q3 10 ,0.41,0.349,17.5
2010-04-29 21:15:00,"FISERV, INC.",FISV,Q1 10 ,0.24,0.241,-1.5
2010-04-29 21:30:00,SKYWORKS SOLUTIONS,SWKS,Q2 10 ,0.24,0.221,8.6
2010-05-04 11:00:00,COGNIZANT TECH SOL,CTSH,Q1 10 ,0.27,0.251,5.6
2010-05-04 12:00:00,SIRIUS XM HOLDINGS I,SIRI,Q1 10 ,0.01,0.0,
2010-05-05 21:30:00,MICROCHIP TECHNOLOGY,MCHP,Q4 10 ,0.46,0.398,15.6
2010-05-06 11:00:00,T-MOBILE,TM,Q1 10 ,0.12,0.111,12.6
2010-05-06 11:00:00,VERISK ANALYTICS INC,VRSK,Q1 9 ,0.26,,
2010-05-06 11:50:00,INCYTE CORPORATION,INCY,Q1 10 ,-0.27,-0.317,14.8
2010-05-06 12:00:00,KRAFT HEINZ CO CMN,KHC,Q1 10 ,,,
2010-05-06 12:09:00,ANSYS,ANSS,Q1 10 ,0.47,0.425,10.6
2010-05-06 13:00:00,CHARTER COMMUNICATIO,CHTR,Q1 10 ,0.25,,
2010-05-06 21:10:00,ACTIVISION BLIZZARD,ATVI,Q1 10 ,0.09,0.036,150.0
2010-05-06 21:11:00,MONDELEZ INTL CMN A,MDLZ,Q1 10 ,0.49,0.446,9.9
2010-05-06 21:17:00,MONSTER BEVERAGE CP,MNST,Q1 10 ,0.06,0.077,-24.2
2010-05-06 21:45:00,VERISK ANALYTICS INC,VRSK,Q1 10 ,0.3,0.313,-4.2
2010-05-10 21:07:00,BOOKING HOLDINGS INC,BKNG,Q1 10 ,1.48,1.667,-11.2
2010-05-11 21:01:00,ELECTRONIC ARTS INC,EA,Q4 10 ,0.07,0.051,37.3
2010-05-12 21:05:00,CISCO SYSTEMS INC,CSCO,Q3 10 ,0.42,0.388,8.8
2010-05-13 21:20:00,NVIDIA CORPORATION,NVDA,Q1 11 ,0.23,0.209,10.0
2010-05-18 21:06:00,ANALOG DEVICES CMN,ADI,Q2 10 ,0.55,0.503,9.3
2010-05-19 21:03:00,AUTODESK INC,ADSK,Q1 11 ,0.29,0.225,28.9
2010-05-19 21:03:00,APPLIED MATERIALS,AMAT,Q2 10 ,0.22,0.214,2.8
2010-05-19 21:15:00,"SYNOPSYS, INC.",SNPS,Q2 10 ,0.41,0.393,4.3
2010-05-20 12:32:00,DOLLAR TREE INC,DLTR,Q1 11 ,0.31,0.282,8.7
2010-05-20 13:30:00,"ROSS STORES, INC.",ROST,Q1 11 ,0.29,0.29,0.0
2010-05-20 21:00:00,INTUIT INC,INTU,Q3 10 ,1.89,1.815,4.1
2010-05-26 21:01:00,"NETAPP, INC.",NTAP,Q4 10 ,0.5,0.434,15.2
2010-05-26 21:01:00,BROADCOM INC.,AVGO,Q2 10 ,0.47,0.426,10.3
2010-05-27 08:01:00,COSTCO WHOLESALE,COST,Q3 10 ,0.66,0.66,0.6
2010-06-02 23:07:00,COPART,CPRT,Q3 10 ,0.13,0.124,4.8
2010-06-03 21:01:00,"ULTA BEAUTY, INC.",ULTA,Q1 11 ,0.23,0.184,25.0
2010-06-08 21:00:00,TAKE-TWO INTERACTI,TTWO,Q2 10 ,0.34,0.266,27.8
2010-06-22 12:30:00,WALGREENS BTS ALN CM,WBA,Q3 10 ,0.53,0.575,-7.8
2010-06-22 21:05:00,ADOBE INC.,ADBE,Q2 10 ,0.44,0.427,3.0
2010-06-23 21:01:00,"PAYCHEX, INC.",PAYX,Q4 10 ,0.32,0.308,3.9
2010-06-28 21:06:00,MICRON TECHNOLOGY,MU,Q3 10 ,0.46,0.427,7.7
2010-07-12 21:02:00,CSX,CSX,Q2 10 ,0.36,0.323,10.4
2010-07-13 12:50:00,FASTENAL CO,FAST,Q2 10 ,0.12,0.112,4.9
2010-07-13 21:15:00,INTEL CORP,INTC,Q2 10 ,0.51,0.429,18.9
2010-07-14 23:10:00,MARRIOTT INT CL A CM,MAR,Q2 10 ,0.31,0.289,7.3
2010-07-15 21:15:00,ADV MICRO DEVICES,AMD,Q2 10 ,0.11,0.063,74.6
2010-07-15 21:36:00,ALPHABET CL A CMN,GOOGL,Q2 10 ,2.86,2.871,-0.6
2010-07-19 21:30:00,TEXAS INSTRUMENTS,TXN,Q2 10 ,0.62,0.626,-1.0
2010-07-20 12:00:00,PEPSICO INC,PEP,Q2 10 ,1.1,1.084,1.5
2010-07-20 12:15:00,BIOGEN INC CMN,BIIB,Q2 10 ,1.28,1.116,14.7
2010-07-20 13:00:00,UNITED AIRLNS HLD CM,UAL,Q2 10 ,1.95,1.75,11.4
2010-07-20 21:05:00,"GILEAD SCIENCES, INC",GILD,Q2 10 ,0.43,0.437,-2.7
2010-07-20 21:15:00,CINTAS CORP,CTAS,Q4 10 ,0.35,0.327,7.0
2010-07-20 21:30:00,APPLE INC.,AAPL,Q3 10 ,0.5,0.444,12.9
2010-07-21 14:01:00,AMERICAN AIRLINES GP,AAL,Q2 10 ,-0.03,-0.008,-275.0
2010-07-21 21:00:00,QUALCOMM INC,QCOM,Q3 10 ,0.57,0.538,5.9
2010-07-21 21:03:00,STARBUCKS CORP,SBUX,Q3 10 ,0.14,0.144,0.7
2010-07-21 21:05:00,"NETFLIX, INC.",NFLX,Q2 10 ,0.11,0.1,14.3
2010-07-21 21:08:00,"INTUITIVE SURG, INC.",ISRG,Q2 10 ,0.73,0.685,6.6
2010-07-21 21:15:00,WESTERN DIGITAL CP,WDC,Q4 10 ,1.2,1.351,-11.2
2010-07-21 21:15:00,EBAY INC.,EBAY,Q2 10 ,0.4,0.383,4.4
2010-07-21 21:20:00,"XILINX, INC.",XLNX,Q1 11 ,0.58,0.535,8.4
2010-07-21 22:09:00,COSTAR GROUP,CSGP,Q2 10 ,0.28,0.162,72.8
2010-07-22 11:30:00,ALEXION PHARM INC,ALXN,Q2 10 ,0.2,0.193,1.0
2010-07-22 13:00:00,EXCELON,EXC,Q2 10 ,0.99,0.914,8.3
2010-07-22 21:00:00,ALIGN TECHNOLOGY I,ALGN,Q2 10 ,0.21,0.137,53.3
2010-07-22 21:10:00,AMAZON.COM INC,AMZN,Q2 10 ,0.45,0.536,-16.0
2010-07-22 21:15:00,MICROSOFT CORP,MSFT,Q4 10 ,0.51,0.464,9.9
2010-07-22 21:30:00,SKYWORKS SOLUTIONS,SWKS,Q3 10 ,0.32,0.304,5.3
2010-07-23 12:00:00,IDEXX LABORATORIES,IDXX,Q2 10 ,0.31,0.3,3.3
2010-07-27 13:00:00,PACCAR INC.,PCAR,Q2 10 ,0.27,0.21,28.6
2010-07-27 21:01:00,"ILLUMINA, INC.",ILMN,Q2 10 ,0.26,0.225,15.6
2010-07-27 21:01:00,"FISERV, INC.",FISV,Q2 10 ,0.25,0.241,3.7
2010-07-27 21:10:00,SEATTLE GENETICS,SGEN,Q2 10 ,-0.08,-0.022,-263.6
2010-07-28 08:00:00,REGENERON PHARMACEUT,REGN,Q2 10 ,-0.31,-0.361,14.1
2010-07-28 12:00:00,COMCAST CORP A,CMCSA,Q2 10 ,0.17,0.161,2.5
2010-07-28 21:00:00,LAM RESEARCH CORP,LRCX,Q4 10 ,1.17,0.966,21.1
2010-07-28 21:01:00,VERTEX PHARMACEUTIC,VRTX,Q2 10 ,-0.71,-0.835,15.0
2010-07-28 21:02:00,CERNER CORP,CERN,Q2 10 ,0.17,0.168,2.7
2010-07-28 21:05:00,CITRIX SYSTEMS INC,CTXS,Q2 10 ,0.41,0.433,-5.3
2010-07-28 21:05:00,CADENCE DESIGN SYS,CDNS,Q2 10 ,0.07,0.033,112.1
2010-07-28 23:30:00,O'REILLY AUTOMOTIVE,ORLY,Q2 10 ,0.81,0.742,9.2
2010-07-29 12:00:00,XCEL ENERGY CMN,XEL,Q2 10 ,0.29,0.275,5.5
2010-07-29 12:31:00,AUTOMATIC DATA PROCS,ADP,Q4 10 ,0.42,0.424,-0.9
2010-07-29 21:00:00,"EXPEDIA GROUP, INC.",EXPE,Q2 10 ,0.88,0.836,5.3
2010-07-29 21:04:00,MAXIM INTEGRATED,MXIM,Q4 10 ,0.23,0.31,-26.5
2010-07-29 21:06:00,AMGEN,AMGN,Q2 10 ,1.38,1.299,6.2
2010-07-29 21:35:00,KLA CP CMN STK,KLAC,Q4 10 ,0.7,0.595,17.6
2010-08-02 21:02:00,BIOMARIN PHARMACEUT,BMRN,Q2 10 ,-0.01,0.019,-152.6
2010-08-02 21:05:00,"VERISIGN, INC.",VRSN,Q2 10 ,0.24,0.243,-1.2
2010-08-03 11:00:00,COGNIZANT TECH SOL,CTSH,Q2 10 ,0.3,0.27,9.3
2010-08-03 21:01:00,BOOKING HOLDINGS INC,BKNG,Q2 10 ,2.81,2.645,6.2
2010-08-03 21:05:00,ELECTRONIC ARTS INC,EA,Q1 11 ,-0.24,-0.317,24.3
2010-08-04 12:00:00,SIRIUS XM HOLDINGS I,SIRI,Q2 10 ,0.0,0.0,
2010-08-04 13:00:00,CHARTER COMMUNICATIO,CHTR,Q2 10 ,-0.58,0.4,-243.8
2010-08-04 21:05:00,"TESLA, INC.",TSLA,Q2 10 ,-5.04,-3.92,-28.6
2010-08-04 21:32:00,VERISK ANALYTICS INC,VRSK,Q2 10 ,0.31,0.33,-6.1
2010-08-05 11:00:00,T-MOBILE,TM,Q2 10 ,0.46,0.26,76.3
2010-08-05 12:00:00,INCYTE CORPORATION,INCY,Q2 10 ,0.02,-0.023,187.0
2010-08-05 12:00:00,KRAFT HEINZ CO CMN,KHC,Q2 10 ,,,
2010-08-05 12:09:00,ANSYS,ANSS,Q2 10 ,0.5,0.468,6.8
2010-08-05 17:00:00,MONSTER BEVERAGE CP,MNST,Q2 10 ,0.12,0.11,4.5
2010-08-05 21:05:00,MONDELEZ INTL CMN A,MDLZ,Q2 10 ,0.6,0.519,15.6
2010-08-05 21:06:00,ACTIVISION BLIZZARD,ATVI,Q2 10 ,0.06,0.055,9.1
2010-08-05 21:25:00,MICROCHIP TECHNOLOGY,MCHP,Q1 11 ,0.57,0.529,7.8
2010-08-11 21:05:00,CISCO SYSTEMS INC,CSCO,Q4 10 ,0.43,0.417,3.1
2010-08-12 21:04:00,AUTODESK INC,ADSK,Q2 11 ,0.36,0.274,31.4
2010-08-12 21:20:00,NVIDIA CORPORATION,NVDA,Q2 11 ,0.03,0.107,-72.0
2010-08-17 21:01:00,ANALOG DEVICES CMN,ADI,Q3 10 ,0.65,0.602,8.0
2010-08-18 21:01:00,"NETAPP, INC.",NTAP,Q1 11 ,0.49,0.456,7.5
2010-08-18 21:03:00,APPLIED MATERIALS,AMAT,Q3 10 ,0.17,0.16,6.3
2010-08-18 21:15:00,"SYNOPSYS, INC.",SNPS,Q3 10 ,0.39,0.375,4.0
2010-08-19 12:15:00,DOLLAR TREE INC,DLTR,Q2 11 ,0.31,0.274,11.3
2010-08-19 13:30:00,"ROSS STORES, INC.",ROST,Q2 11 ,0.27,0.27,-0.9
2010-08-19 21:00:00,INTUIT INC,INTU,Q4 10 ,-0.05,-0.099,49.5
2010-08-24 21:00:00,BROADCOM INC.,AVGO,Q3 10 ,0.61,0.56,8.9
2010-09-02 21:00:00,TAKE-TWO INTERACTI,TTWO,Q3 10 ,0.28,-0.114,345.6
2010-09-02 21:07:00,"ULTA BEAUTY, INC.",ULTA,Q2 11 ,0.22,0.197,11.7
2010-09-21 21:05:00,ADOBE INC.,ADBE,Q3 10 ,0.54,0.494,9.3
2010-09-21 21:15:00,CINTAS CORP,CTAS,Q1 11 ,0.37,0.375,-1.3
2010-09-22 22:20:00,COPART,CPRT,Q4 10 ,0.11,0.12,-10.4
2010-09-27 21:01:00,"PAYCHEX, INC.",PAYX,Q1 11 ,0.36,0.341,5.6
2010-09-28 12:30:00,WALGREENS BTS ALN CM,WBA,Q4 10 ,0.49,0.441,11.1
2010-10-06 08:01:00,COSTCO WHOLESALE,COST,Q4 10 ,0.97,0.954,2.1
2010-10-06 23:00:00,MARRIOTT INT CL A CM,MAR,Q3 10 ,0.22,0.225,-2.2
2010-10-07 12:00:00,PEPSICO INC,PEP,Q3 10 ,1.22,1.22,0.0
2010-10-07 21:08:00,MICRON TECHNOLOGY,MU,Q4 10 ,0.33,0.396,-16.7
2010-10-12 12:50:00,FASTENAL CO,FAST,Q3 10 ,0.13,0.127,0.4
2010-10-12 21:01:00,CSX,CSX,Q3 10 ,0.36,0.346,4.0
2010-10-12 21:15:00,INTEL CORP,INTC,Q3 10 ,0.52,0.496,4.8
2010-10-14 21:15:00,ADV MICRO DEVICES,AMD,Q3 10 ,0.15,0.056,167.9
2010-10-14 21:35:00,ALPHABET CL A CMN,GOOGL,Q3 10 ,3.36,2.947,14.0
2010-10-18 21:30:00,APPLE INC.,AAPL,Q4 10 ,0.66,0.586,13.1
2010-10-19 21:05:00,"GILEAD SCIENCES, INC",GILD,Q3 10 ,0.45,0.44,2.3
2010-10-19 21:05:00,"INTUITIVE SURG, INC.",ISRG,Q3 10 ,0.71,0.701,1.8
2010-10-19 21:15:00,WESTERN DIGITAL CP,WDC,Q1 11 ,0.84,0.809,3.8
2010-10-20 16:00:00,AMERICAN AIRLINES GP,AAL,Q3 10 ,0.39,0.322,21.1
2010-10-20 21:05:00,LAM RESEARCH CORP,LRCX,Q1 11 ,1.52,1.375,10.5
2010-10-20 21:05:00,"NETFLIX, INC.",NFLX,Q3 10 ,0.1,0.101,-1.0
2010-10-20 21:15:00,EBAY INC.,EBAY,Q3 10 ,0.4,0.371,7.8
2010-10-20 21:20:00,"XILINX, INC.",XLNX,Q2 11 ,0.65,0.645,0.8
2010-10-20 23:00:00,COSTAR GROUP,CSGP,Q3 10 ,0.24,0.193,24.4
2010-10-21 11:30:00,ALEXION PHARM INC,ALXN,Q3 10 ,0.25,0.23,8.7
2010-10-21 12:03:00,UNITED AIRLNS HLD CM,UAL,Q3 10 ,2.12,2.174,-2.5
2010-10-21 21:00:00,ALIGN TECHNOLOGY I,ALGN,Q3 10 ,0.25,0.186,34.4
2010-10-21 21:02:00,AMAZON.COM INC,AMZN,Q3 10 ,0.51,0.478,6.7
2010-10-21 21:05:00,CITRIX SYSTEMS INC,CTXS,Q3 10 ,0.62,0.489,26.8
2010-10-22 12:00:00,IDEXX LABORATORIES,IDXX,Q3 10 ,0.3,0.277,6.5
2010-10-22 13:00:00,EXCELON,EXC,Q3 10 ,1.11,1.119,-0.8
2010-10-25 21:12:00,AMGEN,AMGN,Q3 10 ,1.36,1.267,7.3
2010-10-25 21:17:00,VERTEX PHARMACEUTIC,VRTX,Q3 10 ,-0.87,-0.897,3.0
2010-10-25 21:30:00,TEXAS INSTRUMENTS,TXN,Q3 10 ,0.71,0.69,2.9
2010-10-26 12:30:00,BIOGEN INC CMN,BIIB,Q3 10 ,1.33,1.216,9.4
2010-10-26 13:00:00,PACCAR INC.,PCAR,Q3 10 ,0.33,0.321,2.8
2010-10-26 21:01:00,"FISERV, INC.",FISV,Q3 10 ,0.26,0.251,3.6
2010-10-26 21:02:00,"ILLUMINA, INC.",ILMN,Q3 10 ,0.3,0.243,23.5
2010-10-27 12:00:00,COMCAST CORP A,CMCSA,Q3 10 ,0.16,0.149,7.4
