Date,Name,Ticker,Fiscal,Actual,Consensus,Surprise
2010-01-14 21:15:00,INTEL CORP,INTC,Q4 9 ,0.55,0.425,29.8
2010-01-19 12:55:00,FASTENAL CO,FAST,Q4 9 ,0.08,0.078,-3.8
2010-01-19 21:05:00,CSX,CSX,Q4 9 ,0.26,0.254,1.0
2010-01-20 14:00:00,AMERICAN AIRLINES GP,AAL,Q4 9 ,-1.25,-1.215,-2.6
2010-01-20 21:05:00,STARBUCKS CORP,SBUX,Q1 10 ,0.17,0.139,18.7
2010-01-20 21:15:00,EBAY INC.,EBAY,Q4 9 ,0.44,0.404,8.9
2010-01-20 21:20:00,"XILINX, INC.",XLNX,Q3 10 ,0.38,0.349,8.9
2010-01-20 21:30:00,SKYWORKS SOLUTIONS,SWKS,Q1 10 ,0.27,0.246,9.8
2010-01-21 21:01:00,ALPHABET CL A CMN,GOOGL,Q4 9 ,3.07,2.832,8.2
2010-01-21 21:06:00,"INTUITIVE SURG, INC.",ISRG,Q4 9 ,0.79,0.568,38.7
2010-01-21 21:15:00,ADV MICRO DEVICES,AMD,Q4 9 ,-0.05,0.057,-187.7
2010-01-21 21:15:00,WESTERN DIGITAL CP,WDC,Q2 10 ,1.85,1.363,35.7
2010-01-22 13:30:00,EXCELON,EXC,Q4 9 ,0.92,0.858,7.2
2010-01-25 21:08:00,AMGEN,AMGN,Q4 9 ,1.05,1.132,-7.2
2010-01-25 21:30:00,TEXAS INSTRUMENTS,TXN,Q4 9 ,0.52,0.495,5.1
2010-01-25 21:33:00,APPLE INC.,AAPL,Q1 10 ,0.52,0.296,77.1
2010-01-26 21:05:00,"GILEAD SCIENCES, INC",GILD,Q4 9 ,0.47,0.423,9.9
2010-01-27 13:00:00,UNITED AIRLNS HLD CM,UAL,Q4 9 ,-1.05,,
2010-01-27 21:00:00,QUALCOMM INC,QCOM,Q1 10 ,0.62,0.559,10.9
2010-01-27 21:00:00,ALIGN TECHNOLOGY I,ALGN,Q4 9 ,0.16,0.093,72.0
2010-01-27 21:05:00,CITRIX SYSTEMS INC,CTXS,Q4 9 ,0.66,0.517,27.7
2010-01-27 21:05:00,LAM RESEARCH CORP,LRCX,Q2 10 ,0.57,0.402,41.8
2010-01-27 21:05:00,"NETFLIX, INC.",NFLX,Q4 9 ,0.08,0.065,23.1
2010-01-28 12:00:00,XCEL ENERGY CMN,XEL,Q4 9 ,0.38,0.368,3.3
2010-01-28 21:00:00,MAXIM INTEGRATED,MXIM,Q2 10 ,0.19,0.18,5.6
2010-01-28 21:05:00,MICROSOFT CORP,MSFT,Q2 10 ,0.74,0.586,26.3
2010-01-28 21:08:00,AMAZON.COM INC,AMZN,Q4 9 ,0.85,0.723,17.6
2010-01-28 21:15:00,KLA CP CMN STK,KLAC,Q2 10 ,0.28,0.276,1.4
2010-01-29 12:00:00,IDEXX LABORATORIES,IDXX,Q4 9 ,0.26,0.226,12.8
