Date,Time,Ticker,Name,Calendar,Actual,Consensus,RevActual,RevConsensus,Sector,Industry,UTC,releasetime
2010-01-14,16:15:00,INTC,Intel Corp.,09Q4,0.55,0.425,10569.0,10153.516,Information Technology,Semiconductors,2010-01-14 21:15:00+00:00,After Close
2010-01-19,07:55:00,FAST,Fastenal Co,09Q4,0.08,0.078,476.75,479.0,Industrials,Building Products,2010-01-19 12:55:00+00:00,Before Open
2010-01-19,16:05:00,CSX,CSX Corp.,09Q4,0.26,0.254,2300.0,2373.588,Industrials,Railroads,2010-01-19 21:05:00+00:00,After Close
2010-01-20,09:00:00,AAL,American Airlines Group,09Q4,-1.25,-1.215,3798.0,5014.167,Industrials,Airlines,2010-01-20 14:00:00+00:00,Before Open
2010-01-20,16:05:00,SBUX,Starbucks Corp.,09Q4,0.17,0.139,2722.7,2603.286,Consumer Discretionary,Restaurants,2010-01-20 21:05:00+00:00,After Close
2010-01-20,16:15:00,EBAY,eBay Inc.,09Q4,0.44,0.404,2370.93,2299.773,Consumer Discretionary,Internet & Direct Marketing Retail,2010-01-20 21:15:00+00:00,After Close
2010-01-20,16:20:00,XLNX,Xilinx,09Q4,0.38,0.349,513.35,492.143,Information Technology,Semiconductors,2010-01-20 21:20:00+00:00,After Close
2010-01-20,16:30:00,SWKS,Skyworks Solutions,09Q4,0.27,0.246,245.14,241.467,Information Technology,Semiconductors,2010-01-20 21:30:00+00:00,After Close
2010-01-21,16:01:00,GOOGL,Alphabet Inc Class A,09Q4,3.07,2.832,4953.9,4910.577,Communication Services,Interactive Media & Services,2010-01-21 21:01:00+00:00,After Close
2010-01-21,16:06:00,ISRG,Intuitive Surgical Inc.,09Q4,0.79,0.568,323.04,294.333,Health Care,Health Care Equipment,2010-01-21 21:06:00+00:00,After Close
2010-01-21,16:15:00,WDC,Western Digital,09Q4,1.85,1.363,2619.0,2347.333,Information Technology,"Technology Hardware, Storage & Peripherals",2010-01-21 21:15:00+00:00,After Close
2010-01-21,16:15:00,AMD,Advanced Micro Devices Inc,09Q4,-0.05,0.057,1646.0,1495.95,Information Technology,Semiconductors,2010-01-21 21:15:00+00:00,After Close
2010-01-22,08:30:00,EXC,Exelon Corp.,09Q4,0.92,0.858,4116.0,4706.714,Utilities,Multi-Utilities,2010-01-22 13:30:00+00:00,Before Open
2010-01-25,16:08:00,AMGN,Amgen Inc.,09Q4,1.05,1.132,3809.0,3838.875,Health Care,Biotechnology,2010-01-25 21:08:00+00:00,After Close
2010-01-25,16:30:00,TXN,Texas Instruments,09Q4,0.52,0.495,3005.0,2977.28,Information Technology,Semiconductors,2010-01-25 21:30:00+00:00,After Close
2010-01-25,16:33:00,AAPL,Apple Inc.,09Q4,0.52,0.296,15683.0,12084.903,Information Technology,"Technology Hardware, Storage & Peripherals",2010-01-25 21:33:00+00:00,After Close
2010-01-26,16:05:00,GILD,Gilead Sciences,09Q4,0.45,0.423,2032.38,1930.375,Health Care,Biotechnology,2010-01-26 21:05:00+00:00,After Close
2010-01-27,08:00:00,UAL,United Airlines Holdings,09Q4,-1.05,,4193.0,,Industrials,Airlines,2010-01-27 13:00:00+00:00,Before Open
2010-01-27,16:00:00,QCOM,QUALCOMM Inc.,09Q4,0.62,0.559,2668.0,2700.241,Information Technology,Semiconductors,2010-01-27 21:00:00+00:00,After Close
2010-01-27,16:00:00,ALGN,Align Technology,09Q4,0.16,0.093,86.62,80.511,Health Care,Health Care Supplies,2010-01-27 21:00:00+00:00,After Close
2010-01-27,16:05:00,CTXS,Citrix Systems,09Q4,0.66,0.517,451.16,431.889,Information Technology,Application Software,2010-01-27 21:05:00+00:00,After Close
2010-01-27,16:05:00,LRCX,Lam Research,09Q4,0.57,0.402,487.18,453.2,Information Technology,Semiconductor Equipment,2010-01-27 21:05:00+00:00,After Close
2010-01-27,16:05:00,NFLX,Netflix Inc.,09Q4,0.08,0.065,444.54,445.72,Communication Services,Movies & Entertainment,2010-01-27 21:05:00+00:00,After Close
2010-01-28,07:00:00,XEL,Xcel Energy Inc,09Q4,0.38,0.368,2616.41,3500.75,Utilities,Multi-Utilities,2010-01-28 12:00:00+00:00,Before Open
2010-01-28,16:00:00,MXIM,Maxim Integrated Products Inc,09Q4,0.19,0.18,473.52,459.211,Information Technology,Semiconductors,2010-01-28 21:00:00+00:00,After Close
2010-01-28,16:05:00,MSFT,Microsoft Corp.,09Q4,0.74,0.586,19022.0,17881.583,Information Technology,Systems Software,2010-01-28 21:05:00+00:00,After Close
2010-01-28,16:08:00,AMZN,Amazon.com Inc.,09Q4,0.85,0.723,9519.0,9045.607,Consumer Discretionary,Internet & Direct Marketing Retail,2010-01-28 21:08:00+00:00,After Close
2010-01-28,16:15:00,KLAC,KLA Corporation,09Q4,0.28,0.276,440.36,438.818,Information Technology,Semiconductor Equipment,2010-01-28 21:15:00+00:00,After Close
2010-01-29,07:00:00,IDXX,IDEXX Laboratories,09Q4,0.26,0.226,270.33,259.429,Health Care,Health Care Equipment,2010-01-29 12:00:00+00:00,Before Open
2010-01-29,08:00:00,PCAR,PACCAR Inc.,09Q4,0.16,0.065,2240.4,2042.583,Industrials,Construction Machinery & Heavy Trucks,2010-01-29 13:00:00+00:00,Before Open
2010-02-02,07:30:00,ADP,Automatic Data Processing,09Q4,0.62,0.577,2204.4,2210.0,Information Technology,Internet Services & Infrastructure,2010-02-02 12:30:00+00:00,Before Open
2010-02-02,16:01:00,FISV,Fiserv Inc,09Q4,0.24,0.236,1062.0,1022.929,Information Technology,Data Processing & Outsourced Services,2010-02-02 21:01:00+00:00,After Close
2010-02-02,16:05:00,VRSN,Verisign Inc.,09Q4,0.31,0.345,262.66,260.667,Information Technology,Internet Services & Infrastructure,2010-02-02 21:05:00+00:00,After Close
2010-02-03,07:00:00,CMCSA,Comcast Corp.,09Q4,0.14,0.137,9067.0,8966.0,Communication Services,Cable & Satellite,2010-02-03 12:00:00+00:00,Before Open
2010-02-03,07:01:00,MCHP,Microchip Technology,09Q4,0.33,0.341,250.1,243.0,Information Technology,Semiconductors,2010-02-03 12:01:00+00:00,Before Open
2010-02-03,16:05:00,CDNS,Cadence Design Systems,09Q4,0.06,0.028,220.28,220.6,Information Technology,Application Software,2010-02-03 21:05:00+00:00,After Close
2010-02-03,16:05:00,CSCO,Cisco Systems,09Q4,0.4,0.351,9815.0,9410.5,Information Technology,Communications Equipment,2010-02-03 21:05:00+00:00,After Close
2010-02-04,16:04:00,VRTX,Vertex Pharmaceuticals Inc,09Q4,-0.85,-0.842,34.05,27.589,Health Care,Biotechnology,2010-02-04 21:04:00+00:00,After Close
2010-02-04,16:05:00,ILMN,Illumina Inc,09Q4,0.18,0.191,180.56,171.909,Health Care,Life Sciences Tools & Services,2010-02-04 21:05:00+00:00,After Close
2010-02-08,16:01:00,EA,Electronic Arts,09Q4,0.25,0.309,1346.0,1331.96,Communication Services,Interactive Home Entertainment,2010-02-08 21:01:00+00:00,After Close
2010-02-09,06:00:00,CTSH,Cognizant Technology Solutions,09Q4,0.24,0.237,902.72,888.647,Information Technology,IT Consulting & Other Services,2010-02-09 11:00:00+00:00,Before Open
2010-02-09,07:15:00,BIIB,Biogen Inc.,09Q4,1.2,1.044,1127.06,1124.636,Health Care,Biotechnology,2010-02-09 12:15:00+00:00,Before Open
2010-02-09,16:01:00,CERN,Cerner,09Q4,0.18,0.18,466.32,449.824,Health Care,Health Care Technology,2010-02-09 21:01:00+00:00,After Close
2010-02-09,16:10:00,SGEN,"Seattle Genetics, Inc.",09Q4,-0.12,-0.244,21.77,9.472,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2010-02-09 21:10:00+00:00,After Close
2010-02-10,16:15:00,ATVI,Activision Blizzard,09Q4,0.49,0.44,2495.0,2224.522,Communication Services,Interactive Home Entertainment,2010-02-10 21:15:00+00:00,After Close
2010-02-11,06:30:00,ALXN,Alexion Pharmaceuticals,09Q4,0.16,0.147,110.65,109.182,Health Care,Biotechnology,2010-02-11 11:30:00+00:00,Before Open
2010-02-11,06:30:00,MAR,Marriott Int'l.,09Q4,0.32,0.26,3380.0,3208.1,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2010-02-11 11:30:00+00:00,Before Open
2010-02-11,07:58:00,PEP,PepsiCo Inc.,09Q4,0.9,0.902,13297.0,13271.111,Consumer Staples,Soft Drinks,2010-02-11 12:58:00+00:00,Before Open
2010-02-11,09:02:00,EXPE,Expedia Group,09Q4,0.6,0.574,697.52,687.929,Consumer Discretionary,Internet & Direct Marketing Retail,2010-02-11 14:02:00+00:00,Before Open
2010-02-16,06:30:00,MDLZ,Mondelez International,09Q4,0.46,0.448,11025.0,11034.727,Consumer Staples,Packaged Foods & Meats,2010-02-16 11:30:00+00:00,Before Open
2010-02-17,16:00:00,ADI,"Analog Devices, Inc.",09Q4,0.43,0.379,602.98,575.846,Information Technology,Semiconductors,2010-02-17 21:00:00+00:00,After Close
2010-02-17,16:00:00,NTAP,NetApp,09Q4,0.4,0.378,1011.65,955.414,Information Technology,"Technology Hardware, Storage & Peripherals",2010-02-17 21:00:00+00:00,After Close
2010-02-17,16:03:00,AMAT,Applied Materials Inc.,09Q4,0.13,0.134,1848.9,1778.286,Information Technology,Semiconductor Equipment,2010-02-17 21:03:00+00:00,After Close
2010-02-17,16:11:00,BKNG,Booking Holdings Inc,09Q4,1.85,1.683,541.75,530.538,Consumer Discretionary,Internet & Direct Marketing Retail,2010-02-17 21:11:00+00:00,After Close
2010-02-17,16:15:00,SNPS,Synopsys Inc.,09Q4,0.41,0.385,330.17,328.5,Information Technology,Application Software,2010-02-17 21:15:00+00:00,After Close
2010-02-17,16:22:00,NVDA,Nvidia Corporation,09Q4,0.23,0.195,982.49,959.944,Information Technology,Semiconductors,2010-02-17 21:22:00+00:00,After Close
2010-02-17,18:30:00,ORLY,O'Reilly Automotive,09Q4,0.52,0.507,1173.7,1190.933,Consumer Discretionary,Specialty Stores,2010-02-17 23:30:00+00:00,After Close
2010-02-18,07:00:00,INCY,Incyte,09Q4,-0.41,-0.338,6.87,3.746,Health Care,Biotechnology,2010-02-18 12:00:00+00:00,Before Open
2010-02-18,08:30:00,REGN,Regeneron Pharmaceuticals,09Q4,-0.46,-0.366,96.8,93.143,Health Care,Biotechnology,2010-02-18 13:30:00+00:00,Before Open
2010-02-18,16:00:00,INTU,Intuit Inc.,09Q4,0.38,0.315,837.0,814.6,Information Technology,Application Software,2010-02-18 21:00:00+00:00,After Close
2010-02-23,16:00:00,BMRN,BioMarin Pharmaceutical Inc.,09Q4,0.05,0.009,87.08,85.807,Health Care,Major Pharmaceuticals,2010-02-23 21:00:00+00:00,After Close
2010-02-23,16:02:00,ADSK,Autodesk Inc.,09Q4,0.3,0.232,456.1,432.063,Information Technology,Application Software,2010-02-23 21:02:00+00:00,After Close
2010-02-24,08:03:00,DLTR,Dollar Tree,09Q4,0.51,0.478,1558.6,1559.083,Consumer Discretionary,General Merchandise Stores,2010-02-24 13:03:00+00:00,Before Open
2010-02-24,16:00:00,AVGO,Broadcom Inc.,09Q4,0.36,0.302,456.0,440.75,Information Technology,Semiconductors,2010-02-24 21:00:00+00:00,After Close
2010-02-24,16:33:00,CSGP,"CoStar Group, Inc.",09Q4,0.23,0.185,54.64,53.15,Miscellaneous,Business Services,2010-02-24 21:33:00+00:00,After Close
2010-02-25,06:00:00,TMUS,T-Mobile US,09Q4,0.2,0.119,929.98,897.55,Communication Services,Wireless Telecommunication Services,2010-02-25 11:00:00+00:00,Before Open
2010-02-25,07:00:00,SIRI,Sirius XM Holdings Inc.,09Q4,-0.01,-0.018,683.78,661.2,Consumer Services,Broadcasting,2010-02-25 12:00:00+00:00,Before Open
2010-02-25,07:03:00,ANSS,ANSYS,09Q4,0.53,0.486,150.36,140.333,Information Technology,Application Software,2010-02-25 12:03:00+00:00,Before Open
2010-02-25,16:10:00,MNST,Monster Beverage,09Q4,0.09,0.088,290.91,271.167,Consumer Staples,Soft Drinks,2010-02-25 21:10:00+00:00,After Close
2010-03-02,08:00:00,CHTR,Charter Communications,09Q4,125.5,,1710.0,,Communication Services,Cable & Satellite,2010-03-02 13:00:00+00:00,Before Open
2010-03-02,18:43:00,CPRT,Copart Inc,09Q4,0.11,0.1,176.6,178.4,Industrials,Diversified Support Services,2010-03-02 23:43:00+00:00,After Close
2010-03-03,03:01:00,COST,Costco Wholesale Corp.,09Q4,0.7,0.716,18742.0,18613.714,Consumer Staples,Hypermarkets & Super Centers,2010-03-03 08:01:00+00:00,Before Open
2010-03-03,16:00:00,TTWO,Take-Two Interactive,09Q4,-0.39,-0.505,163.24,124.127,Communication Services,Interactive Home Entertainment,2010-03-03 21:00:00+00:00,After Close
2010-03-09,16:30:00,VRSK,Verisk Analytics,09Q4,0.32,0.3,265.13,265.5,Industrials,Research & Consulting Services,2010-03-09 21:30:00+00:00,After Close
