,"Net Liquid:
",Size,Avg. Price,Last Price,Daily Move,Unreal. P&L,Realized P&L
0,FNGU,44.5,59.0,37.1,,-37.2,0.0
1,TQQQ,45.4,69.3,42.5,,-38.7,0.0
