Date,FB,AAPL,AMZN,NFLX,GOOGL,TSLA,NVDA,BABA,BIDU,TWTR
2015-01-20,76.24,108.72,289.44,49.83,509.94,191.93,20.02,100.04,220.36,37.57
2015-01-21,76.74,109.55,297.25,58.47,520.39,196.57,20.3,103.29,228.28,37.83
2015-01-22,77.65,112.4,310.32,61.21,537.3,201.62,20.65,104.0,229.88,39.07
2015-01-23,77.83,112.98,312.39,62.49,541.95,201.29,20.71,103.11,233.33,39.42
2015-01-26,77.5,113.1,309.66,63.79,536.72,206.55,20.62,103.99,229.46,40.1
2015-01-27,75.78,109.14,306.75,64.88,521.19,205.98,19.63,102.94,227.53,38.92
2015-01-28,76.24,115.31,303.91,63.21,512.43,199.37,19.31,98.45,220.31,37.15
2015-01-29,78.0,118.9,311.78,63.4,513.23,205.2,19.78,89.81,220.39,36.68
2015-01-30,75.91,117.16,354.53,63.11,537.55,203.6,19.2,89.08,217.92,37.53
2015-02-02,74.99,118.63,364.47,63.01,532.2,210.94,19.62,90.13,217.6,37.46
2015-02-03,75.4,118.65,363.55,65.27,533.3,218.36,20.11,90.61,217.16,39.79
2015-02-04,75.63,119.56,364.75,64.1,526.1,218.55,20.16,90.0,217.24,40.72
2015-02-05,75.61,119.94,373.89,64.13,529.83,220.99,20.49,87.0,216.8,41.26
2015-02-06,74.47,118.93,374.28,63.48,533.88,217.36,20.4,85.68,211.78,48.01
2015-02-09,74.44,119.72,370.56,63.3,529.28,217.48,20.38,86.0,215.03,47.32
2015-02-10,75.19,122.02,373.0,64.85,540.16,216.29,20.95,87.26,219.44,46.26
2015-02-11,76.51,124.88,375.14,64.98,538.0,212.8,20.81,86.0,214.67,47.5
2015-02-12,76.23,126.46,377.17,65.25,546.01,202.88,22.3,87.1,205.02,47.95
2015-02-13,75.74,127.08,381.83,66.59,551.16,203.77,22.31,89.05,212.13,48.5
2015-02-17,75.6,127.83,375.43,67.14,545.01,204.35,22.38,86.85,208.81,48.03
2015-02-18,76.71,128.72,373.37,67.87,542.65,204.46,22.12,86.74,207.15,47.82
2015-02-19,79.42,128.45,379.0,67.8,546.45,211.71,22.18,86.89,207.24,48.7
2015-02-20,79.9,129.5,383.66,68.31,541.8,217.11,22.34,86.64,209.63,49.11
2015-02-23,78.84,133.0,380.14,67.41,535.0,207.34,22.16,85.47,206.43,48.47
2015-02-24,78.45,132.17,378.59,67.84,538.65,204.11,22.31,84.69,208.06,48.69
2015-02-25,79.56,128.79,385.37,68.33,547.33,203.76,22.14,86.19,203.53,48.55
2015-02-26,80.41,130.42,384.8,69.0,559.29,207.19,22.2,85.37,205.88,49.41
2015-02-27,78.97,128.46,380.16,67.84,562.63,203.34,22.06,85.12,203.75,48.08
2015-03-02,79.75,129.09,385.66,68.61,575.02,197.33,22.6,84.0,205.04,48.15
2015-03-03,79.6,129.36,384.61,67.82,578.79,199.56,22.18,81.58,206.34,47.71
2015-03-04,80.9,128.54,382.72,67.11,578.33,202.44,22.43,85.49,207.69,47.57
2015-03-05,81.21,126.41,387.83,66.81,581.43,200.63,22.86,86.1,214.23,47.35
2015-03-06,80.01,126.6,380.09,64.87,572.9,193.88,22.55,84.4,213.31,46.75
2015-03-09,79.44,127.14,378.56,63.66,574.1,190.88,22.61,82.53,211.62,47.59
2015-03-10,77.55,124.51,369.51,62.15,559.85,190.32,23.0,82.97,210.39,45.84
2015-03-11,77.57,122.24,366.37,62.88,555.69,193.74,22.88,81.99,204.38,46.27
2015-03-12,78.93,124.45,374.24,64.05,561.17,191.07,22.67,81.92,203.39,47.07
2015-03-13,78.05,123.59,370.58,62.63,553.0,188.68,22.7,81.86,204.45,46.66
2015-03-16,78.07,124.95,373.35,60.28,561.64,195.7,22.97,84.0,205.3,46.43
2015-03-17,79.36,127.04,371.92,59.79,557.61,194.73,23.25,84.5,203.27,46.93
2015-03-18,80.91,128.47,375.14,60.45,566.16,200.71,22.87,84.59,210.95,47.2
2015-03-19,82.75,127.5,373.24,60.74,563.67,195.65,23.22,85.74,214.57,47.93
2015-03-20,83.8,125.9,378.49,61.19,564.95,198.08,23.47,85.2,212.69,48.44
2015-03-23,84.43,127.21,375.11,60.71,565.37,199.63,22.71,84.25,216.78,48.46
2015-03-24,85.31,126.69,374.09,62.61,577.54,201.72,22.4,83.63,213.6,51.47
2015-03-25,82.92,123.38,370.96,60.25,567.0,194.3,21.04,83.75,207.74,49.5
2015-03-26,83.01,124.24,367.35,59.75,563.64,190.41,20.97,84.17,205.44,49.92
2015-03-27,83.3,123.25,370.56,59.25,557.55,185.0,21.38,84.58,207.33,50.01
2015-03-30,83.2,126.37,374.59,60.37,561.14,190.57,21.47,83.9,210.54,49.89
2015-03-31,82.22,124.43,372.1,59.53,554.7,188.77,20.93,83.24,208.4,50.08
2015-04-01,81.67,124.25,370.26,59.02,549.49,187.59,21.01,82.36,211.07,50.47
2015-04-02,81.56,125.32,372.25,59.15,541.31,191.0,21.06,82.28,208.51,50.42
2015-04-06,82.44,127.35,377.04,60.33,543.95,203.1,21.67,81.82,203.6,50.84
2015-04-07,82.32,126.01,374.41,60.49,544.86,203.25,21.86,82.21,203.87,52.87
2015-04-08,82.28,125.6,381.2,63.05,548.84,207.67,22.02,85.39,212.84,52.3
2015-04-09,82.17,126.56,383.54,62.79,548.02,210.09,22.53,86.14,218.48,52.17
2015-04-10,82.04,127.1,382.65,64.94,548.54,210.9,22.76,84.58,214.79,51.94
2015-04-13,83.01,126.85,382.36,67.81,548.64,209.78,22.55,84.28,215.4,51.62
2015-04-14,83.52,126.3,385.11,68.39,539.78,207.46,22.36,85.0,213.91,51.2
2015-04-15,82.71,126.78,383.45,67.92,541.04,207.83,22.63,84.67,210.77,51.3
2015-04-16,82.31,126.17,386.04,80.29,543.52,206.7,22.49,84.06,206.9,52.03
2015-04-17,80.78,124.75,375.56,81.65,532.74,206.79,22.2,81.9,207.87,50.66
2015-04-20,83.09,127.6,389.51,81.06,544.53,205.27,22.09,82.2,211.86,51.4
2015-04-21,83.62,126.91,391.18,80.06,542.92,209.41,22.06,82.42,212.85,51.32
2015-04-22,84.63,128.62,389.8,79.67,549.18,219.44,22.31,82.05,213.37,51.73
2015-04-23,82.41,129.67,389.99,79.87,557.46,218.6,22.22,82.28,212.28,51.41
2015-04-24,81.53,130.28,445.1,79.77,573.66,218.43,22.03,84.57,216.9,50.82
2015-04-27,81.91,132.65,438.56,80.87,566.12,231.55,22.2,84.9,220.46,51.66
2015-04-28,80.68,130.56,429.31,80.44,564.37,230.48,22.31,85.08,219.19,42.27
2015-04-29,80.47,128.64,429.37,80.41,561.39,232.45,22.14,82.45,219.0,38.49
2015-04-30,78.77,125.15,421.78,79.5,548.77,226.05,22.2,81.29,200.28,38.96
2015-05-01,78.99,128.95,422.87,79.58,551.16,226.03,22.75,81.17,202.47,37.84
2015-05-04,78.81,128.7,423.04,79.27,552.84,230.51,22.61,80.59,203.7,37.88
2015-05-05,77.56,125.8,421.19,80.79,543.04,232.95,22.03,79.54,194.74,37.42
2015-05-06,78.1,125.01,419.1,80.08,535.08,230.43,22.1,80.0,190.05,37.26
2015-05-07,78.43,125.26,426.88,80.75,542.04,236.8,22.49,86.0,193.63,37.71
2015-05-08,78.51,127.62,433.69,82.09,548.95,236.61,20.83,87.06,193.54,37.59
2015-05-11,78.01,126.32,432.85,84.28,545.78,239.49,20.63,86.72,190.84,37.31
2015-05-12,77.46,125.87,431.02,83.38,538.73,244.74,20.83,86.77,189.97,37.48
2015-05-13,78.44,126.01,426.87,82.87,539.49,243.18,20.95,87.53,189.18,37.72
2015-05-14,81.37,128.95,432.28,83.84,549.2,244.1,21.29,88.4,190.27,37.33
2015-05-15,80.42,128.77,426.0,87.61,546.49,248.84,21.3,88.46,192.98,37.1
2015-05-18,80.88,130.19,425.24,88.27,546.67,248.75,21.27,87.11,191.32,37.28
2015-05-19,80.63,130.07,421.71,88.07,549.28,247.14,21.04,88.21,193.14,37.5
2015-05-20,80.55,130.06,423.86,88.79,552.51,244.35,21.04,90.7,195.51,36.78
2015-05-21,80.48,131.39,431.63,89.0,556.81,245.62,20.89,93.88,200.13,36.68
2015-05-22,80.54,132.54,427.63,88.84,554.52,247.73,20.86,93.27,203.8,36.6
2015-05-26,79.33,129.62,425.47,87.99,547.19,247.46,20.73,92.52,200.19,36.51
2015-05-27,80.55,132.04,431.42,89.86,554.25,247.43,21.84,92.6,201.45,36.41
2015-05-28,80.15,131.78,426.57,89.51,554.18,251.45,22.14,90.95,200.27,36.83
2015-05-29,79.19,130.28,429.23,89.15,545.32,250.8,22.13,89.32,197.4,36.67
2015-06-01,80.29,130.54,430.92,89.0,549.21,249.45,22.38,90.78,201.56,36.63
2015-06-02,80.44,129.96,430.99,89.13,553.95,248.35,21.94,90.51,203.36,36.4
2015-06-03,82.44,130.12,436.59,88.81,555.29,248.99,21.7,90.79,203.88,37.0
2015-06-04,82.05,129.36,430.78,89.35,551.69,245.92,22.09,90.59,204.33,36.71
2015-06-05,82.14,128.65,426.95,90.46,549.53,249.14,22.26,90.71,205.89,37.0
2015-06-08,80.67,127.8,423.5,89.6,543.48,256.29,21.75,88.29,203.15,36.46
2015-06-09,80.67,127.42,425.48,92.45,542.16,256.0,21.86,87.58,202.56,35.88
2015-06-10,82.16,128.88,430.77,95.87,552.6,250.7,21.47,88.9,204.63,35.85
2015-06-11,81.83,128.59,432.97,95.09,550.04,251.41,21.7,87.21,206.77,35.84
2015-06-12,81.53,127.17,429.92,94.42,547.47,250.69,21.11,86.63,207.6,35.9
2015-06-15,80.71,126.92,423.67,93.43,543.0,250.38,21.07,86.12,205.73,34.67
2015-06-16,81.06,127.6,427.26,95.27,544.87,253.12,21.33,86.09,205.0,34.82
2015-06-17,81.79,127.3,427.81,94.27,546.6,260.41,21.58,86.8,209.51,34.69
2015-06-18,82.91,127.88,439.39,94.74,556.18,261.89,21.94,86.75,210.7,34.66
2015-06-19,82.51,126.6,434.92,93.87,557.52,262.51,21.87,85.74,210.87,35.86
2015-06-22,84.74,127.61,436.29,96.41,559.68,259.79,21.78,85.68,209.64,35.55
2015-06-23,87.88,127.03,445.99,97.31,563.39,267.67,21.22,85.08,211.98,35.37
2015-06-24,88.86,128.11,440.84,96.94,558.57,265.17,21.01,85.17,210.32,35.17
2015-06-25,87.98,127.5,440.1,94.89,557.95,268.79,21.17,85.24,207.55,35.17
2015-06-26,88.01,126.75,438.1,93.09,553.06,267.09,20.74,83.28,203.36,35.26
2015-06-29,85.8,124.53,429.86,92.23,541.25,262.02,20.12,81.07,200.5,34.21
2015-06-30,85.77,125.43,434.09,93.85,540.04,268.26,20.11,82.27,199.08,36.22
2015-07-01,86.91,126.6,437.39,93.64,543.3,269.15,20.4,82.46,198.71,35.4
2015-07-02,87.29,126.44,437.71,94.04,547.34,280.02,20.42,82.07,197.03,35.72
2015-07-06,87.55,126.0,436.04,94.57,545.62,279.72,20.17,80.23,189.03,35.43
2015-07-07,87.22,125.69,436.72,94.09,550.03,267.88,19.79,79.62,187.54,35.52
2015-07-08,85.65,122.57,429.7,93.51,541.7,254.96,19.65,77.94,184.58,34.76
2015-07-09,85.88,120.07,434.39,95.73,544.65,257.92,19.41,79.04,187.57,34.36
2015-07-10,87.95,123.28,443.51,97.23,556.11,259.15,19.75,80.3,187.75,34.91
2015-07-13,90.1,125.66,455.57,101.09,571.73,262.16,19.88,81.86,193.27,35.78
2015-07-14,89.68,125.61,465.57,100.37,584.18,265.65,19.89,81.5,191.28,36.72
2015-07-15,89.76,126.82,461.19,98.13,583.96,263.14,19.75,80.73,186.58,35.66
2015-07-16,90.85,128.51,475.48,115.81,601.78,266.68,20.19,81.53,190.1,36.1
2015-07-17,94.97,129.62,483.01,114.77,699.62,274.66,20.07,83.36,198.44,35.67
2015-07-20,97.91,132.07,488.1,110.55,692.84,282.26,19.7,82.67,199.61,35.81
2015-07-21,98.39,130.75,488.0,112.51,695.35,266.77,19.79,82.54,202.4,36.63
2015-07-22,97.04,125.22,488.27,111.5,695.1,267.87,19.41,84.15,205.74,36.09
2015-07-23,95.44,125.16,482.18,110.1,674.73,267.2,19.65,83.88,207.63,36.19
2015-07-24,96.95,124.5,529.42,109.34,654.77,265.41,19.42,83.02,206.25,35.42
2015-07-27,94.17,122.77,531.41,106.43,658.27,253.01,19.31,81.4,197.68,34.7
2015-07-28,95.29,123.38,526.03,106.9,659.66,264.82,19.73,80.56,168.03,36.54
2015-07-29,96.99,122.99,529.0,107.08,661.43,263.82,19.97,80.26,170.01,31.24
2015-07-30,95.21,122.37,536.76,111.56,664.56,266.79,20.02,79.96,174.47,31.47
2015-07-31,94.01,121.3,536.15,114.31,657.5,266.15,19.95,78.34,172.66,31.01
2015-08-03,94.14,118.44,535.03,112.56,664.72,259.99,20.29,77.99,169.14,29.27
2015-08-04,94.06,114.64,531.9,121.15,661.28,266.28,20.37,78.87,170.32,29.34
2015-08-05,96.44,115.4,537.01,123.71,673.29,270.13,20.58,79.82,172.74,28.48
2015-08-06,95.12,115.13,529.46,126.45,670.15,246.13,20.45,78.96,174.46,27.54
2015-08-07,94.3,115.52,522.62,123.52,664.39,242.51,22.98,78.82,176.08,27.04
2015-08-10,94.15,119.72,524.0,123.03,663.14,241.14,23.78,80.47,176.85,29.5
2015-08-11,93.62,113.49,527.46,122.74,690.3,237.37,23.66,77.34,167.94,29.62
2015-08-12,94.19,115.24,525.91,120.51,691.47,238.17,23.72,73.38,160.82,29.39
2015-08-13,93.43,115.15,529.66,123.73,686.51,242.51,23.52,75.11,160.89,28.54
2015-08-14,94.42,115.96,531.52,123.39,689.37,243.15,23.54,74.76,164.24,29.06
2015-08-17,93.93,117.16,535.22,125.36,694.11,254.99,23.39,75.19,167.43,29.06
2015-08-18,95.17,116.5,535.02,124.05,688.73,260.72,23.08,73.88,166.11,28.3
2015-08-19,95.31,115.01,532.92,122.06,694.04,255.25,22.99,73.12,162.89,27.61
2015-08-20,90.56,112.65,515.78,112.49,679.48,242.18,22.16,70.32,157.4,26.0
2015-08-21,86.06,105.76,494.47,103.96,644.03,230.77,21.47,68.18,152.91,25.87
2015-08-24,82.09,103.12,463.37,96.88,618.11,218.87,20.71,65.8,141.08,25.17
2015-08-25,83.0,103.74,466.37,101.52,612.47,220.03,20.28,68.57,136.99,24.38
2015-08-26,87.19,109.69,500.77,110.13,659.74,224.84,21.81,68.66,142.4,25.03
2015-08-27,89.73,112.92,518.37,117.66,667.96,242.99,22.63,70.84,152.06,26.46
2015-08-28,91.01,113.29,518.01,117.63,659.69,248.48,22.73,70.07,152.13,26.83
2015-08-31,89.43,112.76,512.89,115.03,647.82,249.06,22.48,66.12,147.25,27.79
2015-09-01,87.23,107.72,496.54,105.79,629.56,238.63,21.56,64.83,143.57,27.03
2015-09-02,89.89,112.34,510.55,105.44,644.91,247.69,22.21,65.54,148.15,27.82
2015-09-03,88.15,110.37,504.72,101.06,637.05,245.57,22.27,66.47,149.08,28.3
2015-09-04,88.26,109.27,499.0,98.79,628.96,241.93,21.75,63.91,146.0,28.15
2015-09-08,89.53,112.31,517.54,94.95,643.88,248.17,22.68,60.91,148.18,27.18
2015-09-09,90.44,110.15,516.89,99.18,643.41,248.91,22.23,64.04,150.11,27.18
2015-09-10,91.98,112.57,522.24,99.48,651.08,248.48,22.58,63.83,146.75,27.71
2015-09-11,92.05,114.21,529.44,97.51,655.3,250.24,22.65,64.63,144.03,27.39
2015-09-14,92.31,115.31,521.38,95.69,652.47,253.19,22.69,62.6,141.27,26.9
2015-09-15,92.9,116.28,522.37,99.16,665.07,253.57,22.94,64.85,141.4,27.17
2015-09-16,93.45,116.41,527.39,104.08,665.52,262.25,23.1,67.23,150.35,27.75
2015-09-17,94.34,113.92,538.87,104.21,671.67,262.07,23.31,66.0,147.06,27.41
2015-09-18,94.4,113.45,540.26,102.62,660.92,260.62,23.29,65.75,142.57,27.96
2015-09-21,95.55,115.21,548.39,100.3,666.98,264.2,23.53,63.9,140.84,27.38
2015-09-22,92.96,113.4,538.4,98.47,653.2,260.94,22.89,61.9,136.12,26.83
2015-09-23,93.97,114.32,536.07,98.07,653.29,261.06,23.0,60.0,132.37,26.79
2015-09-24,94.41,115.0,533.75,103.76,654.91,263.12,23.44,59.92,132.59,26.6
2015-09-25,92.77,114.71,524.25,102.24,640.15,256.91,23.61,59.24,134.34,25.29
2015-09-28,89.21,112.44,504.06,99.47,624.25,248.43,23.3,57.39,133.06,25.26
2015-09-29,86.67,109.06,496.07,98.35,622.61,246.65,23.71,57.82,136.68,25.59
2015-09-30,89.9,110.3,511.89,103.26,638.37,248.4,24.65,58.97,137.41,26.94
2015-10-01,90.95,109.58,520.72,105.98,642.0,239.88,24.17,58.87,137.53,24.68
2015-10-02,92.07,110.38,532.54,106.11,656.99,247.57,24.8,63.2,148.51,26.31
2015-10-05,94.01,110.78,543.68,111.25,671.68,246.15,25.42,63.93,149.62,28.15
2015-10-06,92.8,111.31,537.48,108.33,671.64,241.46,25.75,63.92,149.8,27.62
2015-10-07,92.4,110.78,541.94,108.1,670.0,231.96,26.02,66.28,144.77,29.83
2015-10-08,92.47,109.5,533.16,114.93,667.0,226.72,26.17,67.7,141.26,30.32
2015-10-09,93.24,112.12,539.8,113.33,671.24,220.69,26.07,68.71,144.22,30.85
2015-10-12,94.26,111.6,550.19,113.45,676.43,215.58,26.35,70.3,144.07,28.75
2015-10-13,94.12,111.79,548.9,109.73,683.17,219.25,26.4,69.68,146.5,29.06
2015-10-14,94.07,110.21,544.83,110.23,680.41,216.88,27.36,68.54,145.02,29.38
2015-10-15,95.96,111.86,562.44,101.09,693.02,221.31,27.43,71.78,150.24,29.71
2015-10-16,97.54,111.04,570.76,98.99,695.32,227.01,27.86,71.99,151.0,31.15
2015-10-19,98.47,111.73,573.15,101.69,699.95,228.1,27.81,72.65,154.68,30.91
2015-10-20,97.0,113.77,560.88,98.99,680.0,213.03,27.77,71.79,153.21,30.91
2015-10-21,97.11,113.76,555.77,97.96,671.8,210.09,27.41,69.48,149.63,29.3
2015-10-22,99.67,115.5,563.91,97.32,681.14,211.72,28.4,70.99,153.5,29.15
2015-10-23,102.19,119.08,599.03,100.04,719.33,209.09,28.59,75.62,157.6,30.28
2015-10-26,103.77,115.28,608.61,103.04,731.12,215.26,28.46,76.35,166.24,30.89
2015-10-27,103.7,114.55,611.01,103.07,732.82,210.35,28.44,79.44,173.86,31.34
2015-10-28,104.2,119.27,617.1,105.8,736.92,212.96,28.67,82.35,172.54,30.87
2015-10-29,104.88,120.53,626.55,105.12,744.85,211.63,27.68,82.22,168.99,29.06
2015-10-30,101.97,119.5,625.9,108.38,737.39,206.93,28.37,83.83,187.47,28.46
2015-11-02,103.31,121.18,628.35,107.64,747.74,213.79,28.7,84.35,195.19,29.2
2015-11-03,102.58,122.57,625.31,109.74,748.82,208.35,28.5,83.44,192.5,29.13
2015-11-04,103.94,122.0,640.95,114.05,755.31,231.63,28.03,85.4,197.92,29.36
2015-11-05,108.76,120.92,655.65,113.5,760.67,231.77,27.71,85.38,198.91,28.66
2015-11-06,107.1,121.06,659.37,114.06,761.6,232.36,31.55,83.61,200.3,28.28
2015-11-09,106.49,120.57,655.49,109.86,754.77,225.33,31.41,81.38,194.01,27.09
2015-11-10,107.91,116.77,659.68,112.7,758.26,216.5,30.81,81.43,196.99,27.05
2015-11-11,109.01,116.11,673.25,112.86,765.25,219.08,30.51,79.85,199.49,26.5
2015-11-12,108.02,115.72,665.6,108.92,756.53,212.94,30.4,78.76,198.14,26.13
2015-11-13,103.95,112.34,642.35,103.65,740.07,207.19,29.8,75.85,193.95,25.18
2015-11-16,104.04,114.18,647.81,111.35,750.42,214.31,30.4,78.3,198.72,25.41
2015-11-17,105.13,113.69,643.3,117.1,745.98,214.0,30.4,78.13,196.83,25.23
2015-11-18,107.77,117.29,663.54,120.63,760.01,221.07,31.03,77.69,204.73,25.9
