Date,FB,AAPL,AMZN,NFLX,GOOGL,TSLA,NVDA,BABA,BIDU,TWTR
2014-09-19,77.91,100.96,331.32,65.36,605.4,259.32,19.08,93.89,224.93,53.0
2014-09-22,76.8,101.06,324.5,63.25,597.27,250.03,18.89,89.89,214.86,51.94
2014-09-23,78.29,102.64,323.63,63.41,591.18,250.41,18.81,87.17,214.79,52.17
2014-09-24,78.54,101.75,328.21,64.37,598.42,252.14,18.92,90.57,221.97,52.96
2014-09-25,77.22,97.87,321.93,63.36,585.25,246.95,18.51,88.92,217.55,51.45
2014-09-26,78.79,100.75,323.21,64.11,587.9,246.6,18.55,90.46,219.02,51.89
2014-09-29,79.0,100.11,321.82,64.22,587.81,245.26,18.52,88.75,220.47,51.74
2014-09-30,79.04,100.75,322.44,64.45,588.41,242.68,18.45,88.85,218.23,51.58
2014-10-01,76.55,99.18,317.46,62.69,579.63,240.24,18.27,86.1,212.03,50.06
2014-10-02,77.08,99.9,318.41,64.28,580.88,251.42,18.19,87.06,214.8,51.85
2014-10-03,77.44,99.62,322.74,65.65,586.25,255.21,18.23,88.1,216.45,53.94
2014-10-06,77.56,99.62,322.2,66.21,587.78,260.62,18.12,88.31,217.2,53.49
2014-10-07,76.29,98.75,316.98,65.18,574.1,259.57,17.93,87.67,215.63,53.53
2014-10-08,77.52,100.8,322.7,66.69,583.74,259.28,18.26,88.3,217.54,55.42
2014-10-09,75.91,101.02,315.37,65.95,570.81,257.01,17.91,88.79,213.0,55.29
2014-10-10,72.91,100.73,311.39,64.58,555.19,236.91,16.85,85.88,203.35,50.4
2014-10-13,72.99,99.81,306.45,62.65,544.75,224.59,16.79,85.12,199.68,48.49
2014-10-14,73.59,98.75,308.31,64.16,548.69,227.06,17.18,84.95,199.07,48.58
2014-10-15,73.21,97.54,305.97,64.08,540.73,229.7,17.44,85.6,205.73,49.99
2014-10-16,72.63,96.26,302.86,51.67,536.92,226.35,17.45,88.85,211.22,48.23
2014-10-17,75.95,97.67,303.64,51.01,522.97,227.48,17.42,87.91,211.73,48.77
2014-10-20,76.95,99.76,306.21,51.32,532.38,230.47,17.57,88.26,216.62,50.7
2014-10-21,78.69,102.47,315.33,52.28,538.03,235.34,18.32,90.9,222.35,50.63
2014-10-22,78.37,102.99,312.97,53.52,542.69,231.1,17.89,91.63,219.26,49.08
2014-10-23,80.04,104.83,313.18,54.72,553.65,235.29,18.29,94.45,217.03,49.67
2014-10-24,80.67,105.22,287.06,55.0,548.9,235.24,18.48,95.76,222.55,49.95
2014-10-27,80.28,105.11,289.97,54.2,549.88,221.67,18.49,97.79,219.92,48.56
2014-10-28,80.77,106.74,295.59,55.17,558.94,242.77,18.93,99.68,228.96,43.78
2014-10-29,75.86,107.34,294.12,54.01,558.45,238.1,18.81,98.31,224.55,42.08
2014-10-30,74.11,106.98,299.07,54.14,560.27,238.66,18.69,98.73,237.01,41.8
2014-10-31,74.99,108.0,305.46,56.11,567.87,241.7,19.54,98.6,238.77,41.47
2014-11-03,73.88,109.4,305.72,55.49,563.77,242.59,19.87,101.8,236.54,40.21
2014-11-04,75.76,108.6,302.81,54.68,564.19,238.93,20.13,106.07,241.96,40.9
2014-11-05,74.83,108.86,296.52,54.34,555.95,230.97,20.13,108.67,237.7,40.37
2014-11-06,75.26,108.7,296.64,54.76,551.69,241.22,20.22,111.57,236.9,40.84
2014-11-07,75.6,109.01,299.86,54.88,551.82,240.2,19.79,114.56,236.54,40.31
2014-11-10,75.0,108.83,305.11,55.32,558.23,241.93,20.02,119.15,247.58,39.59
2014-11-11,74.61,109.7,312.01,54.65,561.29,251.08,19.78,114.54,250.34,39.59
2014-11-12,74.72,111.25,311.51,54.84,558.25,249.1,19.65,118.2,249.82,42.54
2014-11-13,74.25,112.82,316.48,54.2,556.44,251.7,19.55,114.84,244.09,40.04
2014-11-14,74.88,114.18,327.82,55.15,555.19,258.68,19.79,115.1,249.7,41.85
2014-11-17,74.24,113.99,323.05,54.45,546.64,253.98,19.7,114.25,244.15,40.47
2014-11-18,74.34,115.47,324.93,54.43,544.51,257.7,20.17,110.81,242.75,40.61
2014-11-19,73.33,114.67,326.54,51.87,547.2,247.74,20.01,108.82,240.42,39.71
2014-11-20,73.6,116.31,330.54,52.59,543.76,248.71,20.34,109.82,238.39,39.81
2014-11-21,73.75,116.47,332.63,51.47,545.89,242.78,20.45,110.73,245.3,40.03
2014-11-24,74.01,118.63,335.64,50.92,547.48,246.72,20.58,113.92,243.91,40.19
2014-11-25,75.63,117.6,335.04,49.86,549.23,248.09,20.57,113.47,244.34,39.76
2014-11-26,77.62,119.0,333.57,50.17,547.73,248.44,20.92,112.67,246.03,41.13
2014-11-28,77.7,118.93,338.64,49.51,549.08,244.52,20.97,111.64,245.11,41.74
2014-12-01,75.1,115.07,326.0,48.83,539.65,231.64,20.58,105.99,236.61,39.04
2014-12-02,75.46,114.63,326.31,50.33,538.59,231.43,20.61,109.89,234.74,38.91
2014-12-03,74.88,115.93,316.5,50.73,536.97,229.3,21.14,110.64,231.29,39.06
2014-12-04,75.24,115.49,316.93,50.09,542.58,228.28,20.95,109.17,230.81,38.79
2014-12-05,76.36,115.0,312.63,50.13,528.08,223.71,21.07,107.9,232.72,38.49
2014-12-08,76.52,112.4,306.64,48.5,530.73,214.36,20.8,105.07,227.67,36.29
2014-12-09,76.84,114.12,312.5,49.11,536.11,216.89,20.73,107.48,229.9,37.05
2014-12-10,76.18,111.95,305.84,47.76,528.04,209.84,20.27,103.88,225.12,36.35
2014-12-11,77.73,111.62,307.36,47.8,532.11,208.88,20.26,104.97,229.23,36.7
2014-12-12,77.83,109.73,307.32,47.78,521.51,207.0,19.63,105.11,229.32,37.1
2014-12-15,76.99,108.23,306.07,46.72,515.84,204.04,19.57,104.7,225.81,36.85
2014-12-16,74.69,106.75,295.06,45.21,498.16,197.81,19.35,105.77,219.96,35.13
2014-12-17,76.11,109.41,298.88,47.66,506.45,205.82,20.14,109.02,223.85,35.57
2014-12-18,78.4,112.65,297.73,47.77,514.62,218.26,20.22,109.25,231.88,36.73
2014-12-19,79.88,111.78,299.9,48.59,520.04,219.29,20.42,110.65,234.23,37.08
2014-12-22,81.45,112.94,306.54,48.1,532.3,222.6,20.78,108.77,234.6,38.43
2014-12-23,80.61,112.54,306.29,48.06,538.77,220.97,20.65,105.52,233.16,37.57
2014-12-24,80.77,112.01,303.03,48.87,536.93,222.26,20.57,105.95,230.98,37.61
2014-12-26,80.78,113.99,309.09,48.58,541.52,227.82,20.59,105.95,234.88,37.6
2014-12-29,80.02,113.91,312.04,48.85,537.31,225.71,20.56,105.98,230.21,36.42
2014-12-30,79.22,112.52,310.3,49.03,535.28,222.23,20.37,105.75,230.01,35.86
2014-12-31,78.02,110.38,310.35,48.8,530.66,222.41,20.05,103.94,227.97,35.87
2015-01-02,78.45,109.33,308.52,49.85,529.55,219.31,20.13,103.6,223.08,36.56
2015-01-05,77.19,106.25,302.19,47.31,519.46,210.09,19.79,101.0,219.79,36.38
2015-01-06,76.15,106.26,295.29,46.5,506.64,211.28,19.19,103.32,220.18,38.76
2015-01-07,76.15,107.75,298.42,46.74,505.15,210.95,19.14,102.13,224.35,37.28
2015-01-08,78.18,111.89,300.46,47.78,506.91,210.62,19.86,105.03,229.21,39.09
2015-01-09,77.74,112.01,296.93,47.04,500.72,206.66,19.94,103.02,226.9,40.17
2015-01-12,76.72,109.25,291.41,45.55,497.06,202.21,19.69,101.62,220.89,39.37
2015-01-13,76.45,110.22,294.74,46.26,501.8,204.25,19.66,100.77,219.6,39.65
2015-01-14,76.28,109.8,293.27,46.32,505.93,192.69,19.74,99.58,216.82,39.85
2015-01-15,74.05,106.82,286.95,46.25,504.01,191.87,19.6,96.31,215.97,36.93
2015-01-16,75.18,105.99,290.74,48.19,510.46,193.07,19.96,96.89,220.2,37.31
